"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","840","2342","Correo electrónico","Cambio trabajo",61,"Mujer","Francia","Francés","Universidad",60,4,"No","Yo","voy","VMIP1S","ir",NA,NA,"a el cine 3 o 4 vez per semana , y todos los fines de semana voy a andar en"
"A1IR.xlsx","1463","4138","Correo electrónico","Cambio trabajo",37,"Mujer","Guinea","Francés","Primaria",1,9,"Otros","Voy que invitar le para salir a la playa porque me chifla los lugares ventilados y creo que","voy","VIIP1S","ir",NA,NA,"que sentar muy bien con suyo ."
"A1IR.xlsx","1463","4139","Nota/aviso","Nota llegar tarde",37,"Mujer","Guinea","Francés","Primaria",1,9,"Otros","Lo prometo","voy","VIIP1S","ir",NA,NA,"que volver no tarde ."
"A1IR.xlsx","840","2342","Correo electrónico","Cambio trabajo",61,"Mujer","Francia","Francés","Universidad",60,4,"No","Tomo mi mochillo , mi perro y","voy","VMIP1S","ir",NA,NA,"con amigos a pasear por 2 dias ."
"A1IR.xlsx","2129","5993","Nota/aviso","Nota llegar tarde",23,"Mujer","Costa de Marfil","Francés","Secundaria",23,2,"Amigos","Os dejo esa nota para decir que","voy","VIIP1S","ir",NA,NA,"a llegar tarde ."
"A1IR.xlsx","2042","5751","Correo electrónico","Cambio trabajo",71,"Hombre","Francia","Francés","Otros",13,10,"No","A_menudo , con amigos y amigas ,","voy","VMIP1S","ir",NA,NA,"de tapas y copas en algunos retaurantes famosos de el casco viejo de Lyon ."
"A1IR.xlsx","1239","3495","Correo electrónico","Familia",58,"Hombre","Francia","Francés","Universidad",58,3,"No","yo","voy","VIIP1S","ir",NA,NA,"a ir te buscar en la estacion a las seis_y_media ."
"A1IR.xlsx","779","2169","Correo electrónico","Cambio trabajo",52,"Mujer","Francia","Francés","Otros",1,8,"No","de semana , me gusta hacer deporte , a_menudo juego a el golf , o ando por la montaña ,","voy","VIIP1S","ir",NA,NA,"a esquiar , o montar a cabalo en el campo ."
"A1IR.xlsx","1972","5556","Correo electrónico","Cambio trabajo",63,"Hombre","Francia","Francés","Primaria",63,4,"No","Me llamo Philippe_de_Gouttes y","voy","VIIP1S","ir",NA,NA,"a trabajar con vosotros ."
"A1IR.xlsx","638","1773","Nota/aviso","Nota llegar tarde",62,"Hombre","Francia","Francés","Universidad",60,11,"Amigos","Tengo mucho trabajo este tarde y","voy","VIIP1S","ir",NA,NA,"a llegar a casa cerca 22_oras ."
"A1IR.xlsx","797","2223","Correo electrónico","Cambio trabajo",55,"Mujer","Francia","Francés","Universidad",1,3,"No","Me gusta muchissimo la España y","voy","VMIP1S","ir",NA,NA,"en este pais quatro o cinco veces per año en Madrid o Barcelona y por los vacaciones en venero ,"
"A1IR.xlsx","480","1334","Nota/aviso","Nota llegar tarde",43,"Mujer","Bélgica","Francés","Universidad",1,3,"No","Te escribo este sms para informar te que","voy","VIIP1S","ir",NA,NA,"a ir a el cinema con mis amigas ."
"A1IR.xlsx","797","2223","Correo electrónico","Cambio trabajo",55,"Mujer","Francia","Francés","Universidad",1,3,"No","Leo a_menudo pero no","voy","VMIP1S","ir",NA,NA,"a el cine ."
"A1IR.xlsx","2096","5906","Nota/aviso","Nota llegar tarde",52,"Mujer","Francia","Francés","Universidad",52,4,"No","Si no pueden ,","voy","VIIP1S","ir",NA,NA,"a dormir en el hotel"
