Estudiante,Tarea,Tipología textual,Tema,Edad,Sexo,País,L1,Estudios,Edad de inicio en el estudio del español,Número de meses estudiando español,Contactos personales en países de habla española,Contexto a la izquierda,Elemento gramatical 1,Etiqueta 1,Lema 1,Palabra ortográfica 1,Información adicional 1,Contexto a la derecha
775,2158,Nota/aviso,Nota llegar tarde,27,Mujer,Francia,Francés,Otros,20,6,Amigos,,Voy,VIIP1S,ir,,,"ir de copas y bailar salsa com Laure , David , Valerie y Arnao "
480,1334,Nota/aviso,Nota llegar tarde,43,Mujer,Bélgica,Francés,Universidad,1,3,No,,Voy,VMIP1S,ir,,,probablemente llegar muy tarde a la casa . 
775,2157,Correo electrónico,Cambio trabajo,27,Mujer,Francia,Francés,Otros,20,6,Amigos,,Voy,VIIP1S,ir,,,a_menudo bailar salsa . 
1463,4138,Correo electrónico,Cambio trabajo,37,Mujer,Guinea,Francés,Primaria,1,9,Otros,,Voy,VIIP1S,ir,,,que invitar le para salir a la playa porque me chifla los lugares ventilados y creo que voy que sentar 
722,2003,Nota/aviso,Nota llegar tarde,29,Mujer,Francia,Francés,Universidad,1,20,No,,Voy,VMIP1S,ir,,,a el cine con Javier y Esperanza esta tarde . 
326,907,Nota/aviso,Nota llegar tarde,26,Mujer,Francia,Francés,Universidad,1,2,Amigos,,Voy,VIIP1S,ir,,,a llevar en casa tarde despues de el trabajo esta tarde . 
326,906,Correo electrónico,Cambio trabajo,26,Mujer,Francia,Francés,Universidad,1,2,Amigos,,Voy,VIIP1S,ir,,,a conocer vosotros tambien en poco tiempo y me encanta . 
371,1028,Correo electrónico,Familia,25,Mujer,Líbano,Francés,Universidad,24,5,Amigos&Familiares,"Bale , espero que tu ",vas,VIIP2S,ir,,,a conozcer toda mi familia en el proximo meses . 
638,1774,Correo electrónico,Familia,62,Hombre,Francia,Francés,Universidad,60,11,Amigos,"Este domingo , vienes a la casa de mi padres y ",vas,VIIP2S,ir,,,"a encontrar mi padres , mi dos hermanos y mi hermana . "
1239,3495,Correo electrónico,Familia,58,Hombre,Francia,Francés,Universidad,58,3,No,tú ,vas,VIIP2S,ir,,,"a encontrar mí familia , tengo te presentar la para conocer la un_poco màs . "
636,1767,Nota/aviso,Nota llegar tarde,60,Mujer,Francia,Francés,Secundaria,58,11,Amigos,,Vas,VIIP2S,ir,,,a buscar algo para comer en la nevera . 
2096,5907,Correo electrónico,Familia,52,Mujer,Francia,Francés,Universidad,52,4,No,pero Julia ,va,VIIP7S,ir,,,a estudiar en Paris el derecho y vamos a ver la solo de_vez_en_cuando . 
480,1334,Nota/aviso,Nota llegar tarde,43,Mujer,Bélgica,Francés,Universidad,1,3,No,Come ,va,VMIP7S,ir,,,? 
390,1083,Correo electrónico,Familia,42,Mujer,Francia,Francés,Secundaria,1,0,No,"Pauline tiene nueve años , ",va,VMIP7S,ir,,,a la escuela Berchet de Tanger . 
829,2314,Correo electrónico,Familia,45,Mujer,Líbano,Francés,Universidad,1,6,No,"¿ Qué tal ? , ¿ como ",va,VMIP7S,ir,,,la salud ? 
1406,3982,Correo electrónico,Cambio trabajo,37,Mujer,Guinea,Francés,Universidad,37,6,Otros,Esperar ,va,VMIP7S,ir,,,que llevar se bien con vosotros . 
831,2320,Correo electrónico,Familia,68,Mujer,Francia,Francés,Universidad,1,4,No,Espero que todo te ,va,VMIP7S,ir,,,"bien , el trabajo en el Instituto , la familia "
257,711,Correo electrónico,Cambio trabajo,18,Mujer,Francia,Francés,Secundaria,12,53,Otros,Me llamo Clementine y vivo en Marrakech por el momento porqué me ,va,VIIP7S,ir,,,"a cambiar de lugar de trabajo , ¡ vengo allí , con vosotros ! "
2096,5907,Correo electrónico,Familia,52,Mujer,Francia,Francés,Universidad,52,4,No,"Jeanne vive en la casa porque es muy joven : estudia el ingles , el ruso y ",va,VIIP7S,ir,,,a empiezar el estudio de la lengua italiana 
827,2308,Correo electrónico,Familia,64,Mujer,Francia,Francés,Universidad,1,0,Familiares,": Christophe , su mujer : Marie y dos nietas de cuatros y dos años Sarah y Elsa , Sarah ",va,VMIP7S,ir,,,"a l´ escuela por los piquiños y Elsa esta mas joven , va a la pequiña escuela l' años que "
827,2308,Correo electrónico,Familia,64,Mujer,Francia,Francés,Universidad,1,0,Familiares,"dos años Sarah y Elsa , Sarah va a l´ escuela por los piquiños y Elsa esta mas joven , ",va,VMIP7S,ir,,,a la pequiña escuela l' años que viene . 
326,908,Correo electrónico,Familia,26,Mujer,Francia,Francés,Universidad,1,2,Amigos,Hace años ... ¿ Como ,va,VMIP7S,ir,,,tu familia ? 
371,1027,Nota/aviso,Nota llegar tarde,25,Mujer,Líbano,Francés,Universidad,24,5,Amigos&Familiares,No esperar me porque no se a que hora el curso ,va,VIIP7S,ir,,,a terminar . 
792,2208,Correo electrónico,Cambio trabajo,26,Hombre,Suiza,Francés,Otros,26,1,Amigos&Familiares,Yo soy vuestro nuevo colega que ,va,VIIP7S,ir,,,trabajar com vosotros . 
829,2313,Nota/aviso,Nota llegar tarde,45,Mujer,Líbano,Francés,Universidad,1,6,No,importante es que espero a mi amiga Clara que Llega a las nueve_de_la_tarde en trén y quiero buscar la . ,va,VIIP7S,ir,,,vivir en mi casa todo el mes de febrero porque registra un nuevo trabajo . 
